Unnamed: 0,User,Tweet,Cleaned_Tweet,Sentiment,Label
0,Sunnysweet16,Wonder why no academic or journalist asks INC India and Rahul Gandhi a simple question-what danger was there to the original constitution that they changed it more than 100 times in the course of 55 yrs they ruled? #LokSabhaElections2019,wonder academic journalist asks inc india rahul gandhi simple questionwhat danger original constitution changed times course yrs ruled loksabhaelections,0.125,1.0
3,JosephPravinP,"@ajaymaken @RahulGandhi And as a final touch, #Modi ji proved this world that not Rahul but he is the real #Pappu thereby making @RahulGandhi the perfect fit for the future!

Thank you Modi ji 😅
#BJP #Congress #RahulGandhi #Elections2019",final touch modi ji proved world rahul real pappu thereby making perfect fit future thank modi ji bjp congress rahulgandhi elections,0.32,1.0
4,VandanaMegastar,#LokSabhaElections2019 Anyone not having mass backing can't be a visionary politician. Such netas are destined to work for lobbies. Difference between Rahul &amp; Modi is that Modi has a cow and Rahul doesn't have. Rahul can't hide behind a cow. He will deliver or will have to go....,loksabhaelections anyone mass backing cant visionary politician netas destined work lobbies difference rahul amp modi modi cow rahul doesnt rahul cant hide behind cow deliver go,-0.2222222222222222,0.0
5,RGspeak,@INCIndia should release a video of @RahulGandhi visiting Kedarnath shrine and that of Modi immediately.... it would be a study in contrast &amp; important for everyone to comprehend.... #KedarnathTemple #Kedarnath #RahulGandhi,release video visiting kedarnath shrine modi immediately would study contrast amp important everyone comprehend kedarnathtemple kedarnath rahulgandhi,0.4,1.0
7,__Shivampandey,"Rahul Gandhi Spotted in Switzerland, 1 hour ago: Source #RahulGandhi is it true???
@divyaspandana",rahul gandhi spotted switzerland hour ago source rahulgandhi true,0.35,1.0
9,pintoo2060,"#Punjab 
Bhatinda- cong-  Sad neck to neck 
Cong may win
Ferozepur -SAD
Faridkot- SAD- Cong.. neck to neck
Patiala- Cong edge
Gandhi giving challenge
Chandigarh-bjp
Fatehgarh sahib-cong 
#LoksabhaElections2019 2/2",punjab bhatinda cong sad neck neck cong may win ferozepur sad faridkot sad cong neck neck patiala cong edge gandhi giving challenge chandigarhbjp fatehgarh sahibcong loksabhaelections,-0.175,0.0
11,eccentricraj,@ani_digital @ANI @rssurjewala IF #ECI #SunilArora IS ANOTHER #NAVEENCHAWLA BY NOW @RahulGandhi FOR HIS COMMENT #MODI ORDER TO FIRE TRIBAL  @SpokespersonECI WOULD HAD BANNED @RahulGandhi 72 HOURS AND @BJP4India WOULD HAD RUSHED #SC LOL #ECI NOT ACTED @RahulGandhi YET #Kedarnath #AMITSHAH #BJP,eci sunilarora another naveenchawla comment modi order fire tribal would banned hours would rushed sc lol eci acted yet kedarnath amitshah bjp,0.8,1.0
15,INC_KONARKKD,@RahulGandhi Great One #LokSabhaElections2019,great one loksabhaelections,0.8,1.0
16,dipaksamanta,"@RahulGandhi We should not speak about Nehru, Because he is your great grandfather, We shouldn't speak about Indira Gandhi because she is your grandmother,.
We shouldn't speak about Rajiv Gandhi because he is your father and 
#RahulGandhi",speak nehru great grandfather shouldnt speak indira gandhi grandmother shouldnt speak rajiv gandhi father rahulgandhi,0.8,1.0
17,KhoranaR,Whatever the outcome of #LokSabhaElections2019 Rahul has emerged as a strong leader and Congress cadre has been energised in all the states . An opportunity to build strong Congress cadre #INCIndia.,whatever outcome loksabhaelections rahul emerged strong leader congress cadre energised states opportunity build strong congress cadre incindia,0.4333333333333333,1.0
18,bhhatu,"@JhaSanjay nice pic @JhaSanjay ...
u totally rock in this pose..
youngsters should learn from u how to be a bondman for gandhi family..

#Kedarnath #LokSabhaElections2019 #Phase7 #NamoAgain #AyegaToModiHi #ModiAaneWalaHai",nice pic u totally rock pose youngsters learn u bondman gandhi family kedarnath loksabhaelections phase namoagain ayegatomodihi modiaanewalahai,0.3,1.0
